NArank,City,Country,Population,YearPop
1,Mexico City,Mexico,8918653,2015
2,New York,United States,8550405,2015
3,Los Angeles,United States,3971883,2015
4,Toronto,Canada,2826498,2015
5,Chicago,United States,2720546,2015
6,Houston,United States,2296224,2015
7,Havana,Cuba,2117625,2015
8,Montréal,Canada,1753034,2015
9,Ecatepec de Morelos,Mexico,1677678,2015
10,Philadelphia,United States,1567442,2015
11,Phoenix,United States,1563025,2015
12,San Antonio,United States,1469845,2015
13,Guadalajara,Mexico,1460148,2015
14,Puebla,Mexico,1437939,2015
15,San Diego,United States,1394928,2015
16,Juÿrez,Mexico,1382753,2015
17,Le›n,Mexico,1349224,2015
18,Dallas,United States,1300092,2015
19,Tijuana,Mexico,1298475,2015
20,Calgary,Canada,1230915,2015
21,Tegucigalpa,˜Honduras,1190230,2015
22,Zapopan,Mexico,1179681,2015
23,Monterrey,Mexico,1109171,2015
24,Managua,˜Nicaragua,1048134,2015
25,Nezahualc›yotl,Mexico,1039867,2015
26,San Jose,United States,1026908,2015
27,Santo Domingo,Dominican Republic,1007997,2015
28,Guatemala City,Guatemala,994078,2015
29,Port-au-Prince,Haiti,987310,2015
30,Naucalpan,Mexico,970012,2015
31,Ottawa - Gatineau,Canada,956710,2015
32,Austin,United States,931830,2015
33,Edmonton,Canada,899447,2016
34,M?rida,Mexico,892363,2015
35,Quer?taro,Mexico,878931,2015
36,Toluca,Mexico,873536,2015
37,Jacksonville,United States,868031,2015
38,Chihuahua,Mexico,867736,2015
39,San Francisco,United States,864816,2015
40,Indianapolis,United States,853173,2015
41,Columbus,United States,850106,2015
42,Fort Worth,United States,833319,2015
43,Charlotte,United States,827097,2015
44,Hermosillo,Mexico,819999,2015
45,Saltillo,Mexico,791074,2015
46,Aguascalientes,Mexico,785942,2015
47,Mississauga,Canada,761300,2015
48,San Luis Potos­,Mexico,759854,2015
49,Veracruz,Mexico,752171,2015
50,San Pedro Sula,Honduras,742118,2015
51,Santiago de los Caballeros,Dominican Republic,723162,2015
52,Culiacÿn,Mexico,720798,2015
53,Winnipeg,Canada,718400,2015
54,Mexicali,Mexico,717628,2015
55,Cancœn,Mexico,711682,2015
56,Acapulco,Mexico,710261,2015
57,Tlalnepantla,Mexico,700734,2015
58,Seattle,United States,684451,2015
59,Guadalupe,Mexico,682880,2015
60,Denver,United States,682545,2015
61,El Paso,United States,681124,2015
62,Chimalhuacÿn,Mexico,679811,2015
63,Detroit,United States,677116,2015
64,"Washington, D.C.",United States,672228,2015
65,Kingston,Jamaica,669627,2015
66,Boston,United States,667137,2015
67,Tlaquepaque,Mexico,664193,2015
68,Memphis,United States,655770,2015
69,Nashville,United States,654610,2015
70,Torre›n,Mexico,653150,2015
71,Vancouver,Canada,648608,2015
72,Portland,United States,632309,2015
73,Reynosa,Mexico,631611,2015
74,Oklahoma City,United States,631346,2015
75,Las Vegas,United States,623747,2015
76,Baltimore,United States,621849,2015
77,Brampton,Canada,620700,2016
78,Louisville,United States,615366,2015
79,Morelia,Mexico,608190,2015
80,Milwaukee,United States,600155,2015
81,Tuxtla Guti?rrez,Mexico,598710,2015
82,Apodaca,Mexico,597207,2015
83,Durango,Mexico,590893,2015
84,Villa Nueva,Guatemala,564686,2015
85,Albuquerque,United States,559121,2015
86,Hamilton,Canada,556359,2015
87,Québec,Canada,540994,2015
88,Tonalÿ,Mexico,536111,2015
89,Tucson,United States,531641,2015
90,Cuautitlÿn Izcalli,Mexico,531041,2015
91,Surrey,Canada,526004,2015
92,Ciudad L›pez Mateos,Mexico,523296,2015
93,Tultitlÿn,Mexico,520557,2015
94,Fresno,United States,520052,2015
95,Carrefour,Haiti,501768,2015
unknown,Long Beach,United States,462257,2019
unknown,Oakland,United States,433031,2019
unknown,Sacramento,United States,513624,2019
unknown,Colorado Springs,United States,478221,2019
unknown,Mesa,United States,518012,2019
unknown,Raleigh,United States,474069,2019
unknown,Virginia Beach,United States,449974,2020
unknown,Kansas City,United States,486404,2020
unknown,Omaha,United States,478192,2019
unknown,Halifax,Canada,403131,2016
unknown,Atlanta,United States,506811,2019
unknown,Tulsa,United States,401190,2019
unknown,Minneapolis,United States,429606,2019
